From_ID,From,To_ID,To,Year,Count
329,"West Central Africa and St. Helena, port unspecified",52,"British Caribbean, colony unspecified",1775,1
131,"Gold Coast, port unspecified",52,"British Caribbean, colony unspecified",1775,2
30,Benin,52,"British Caribbean, colony unspecified",1775,1
332,Whydah,84,Cayes (Les),1775,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1775,1
131,"Gold Coast, port unspecified",85,Charleston,1775,1
124,Gabon,104,Demerara,1775,1
87,Congo North,104,Demerara,1775,1
175,Loango,116,Essequibo,1775,1
14,Axim,139,Guiana,1775,1
130,"Gold Coast, Fr. definition",155,Jacmel,1775,1
332,Whydah,160,Kingston,1775,1
148,Iles de Los,200,Montego Bay,1775,1
131,"Gold Coast, port unspecified",227,Paramaribo,1775,1
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1775,1
57,Cabinda,243,Port-au-Prince,1775,2
245,Porto Novo,243,Port-au-Prince,1775,1
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1775,2
329,"West Central Africa and St. Helena, port unspecified",244,Port-de-Paix,1775,1
29,Benguela,258,Rio de Janeiro,1775,9
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1775,1
63,Calabar,274,Saint-Marc,1775,1
332,Whydah,274,Saint-Marc,1775,1
33,"Bight of Benin, port unspecified",274,Saint-Marc,1775,2
335,"Windward Coast, port unspecified",301,St. Croix,1775,1
124,Gabon,302,St. Eustatius,1775,1
87,Congo North,302,St. Eustatius,1775,3
131,"Gold Coast, port unspecified",52,"British Caribbean, colony unspecified",1776,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1776,1
130,"Gold Coast, Fr. definition",84,Cayes (Les),1776,1
63,Calabar,84,Cayes (Les),1776,1
175,Loango,84,Cayes (Les),1776,1
72,Cape Lahou,104,Demerara,1776,1
71,Cape Coast Castle,160,Kingston,1776,1
64,Cameroons,160,Kingston,1776,1
42,Bonny,200,Montego Bay,1776,2
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1776,2
126,Gambia,243,Port-au-Prince,1776,1
245,Porto Novo,243,Port-au-Prince,1776,3
63,Calabar,243,Port-au-Prince,1776,1
332,Whydah,243,Port-au-Prince,1776,1
33,"Bight of Benin, port unspecified",243,Port-au-Prince,1776,2
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1776,7
30,Benin,274,Saint-Marc,1776,1
186,Malembo,274,Saint-Marc,1776,1
42,Bonny,274,Saint-Marc,1776,1
175,Loango,274,Saint-Marc,1776,3
286,"Senegambia and offshore Atlantic, port unspecified",274,Saint-Marc,1776,1
286,"Senegambia and offshore Atlantic, port unspecified",286,"Senegambia and offshore Atlantic, port unspecified",1776,1
42,Bonny,301,St. Croix,1776,1
63,Calabar,301,St. Croix,1776,1
72,Cape Lahou,302,St. Eustatius,1776,1
335,"Windward Coast, port unspecified",52,"British Caribbean, colony unspecified",1777,1
25,Bassa,52,"British Caribbean, colony unspecified",1777,1
63,Calabar,52,"British Caribbean, colony unspecified",1777,1
286,"Senegambia and offshore Atlantic, port unspecified",83,Cayenne,1777,1
286,"Senegambia and offshore Atlantic, port unspecified",84,Cayes (Les),1777,1
148,Iles de Los,84,Cayes (Les),1777,1
148,Iles de Los,155,Jacmel,1777,1
332,Whydah,160,Kingston,1777,1
42,Bonny,200,Montego Bay,1777,1
1,Accra,200,Montego Bay,1777,1
335,"Windward Coast, port unspecified",227,Paramaribo,1777,1
186,Malembo,243,Port-au-Prince,1777,4
245,Porto Novo,243,Port-au-Prince,1777,2
130,"Gold Coast, Fr. definition",243,Port-au-Prince,1777,1
167,"Lagos, Onim",243,Port-au-Prince,1777,1
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1777,1
63,Calabar,243,Port-au-Prince,1777,1
42,Bonny,243,Port-au-Prince,1777,1
286,"Senegambia and offshore Atlantic, port unspecified",243,Port-au-Prince,1777,2
175,Loango,244,Port-de-Paix,1777,1
186,Malembo,244,Port-de-Paix,1777,1
29,Benguela,258,Rio de Janeiro,1777,5
245,Porto Novo,274,Saint-Marc,1777,3
63,Calabar,274,Saint-Marc,1777,2
87,Congo North,302,St. Eustatius,1777,1
72,Cape Lahou,302,St. Eustatius,1777,1
186,Malembo,302,St. Eustatius,1777,1
329,"West Central Africa and St. Helena, port unspecified",83,Cayenne,1778,1
332,Whydah,83,Cayenne,1778,1
204,Mozambique,83,Cayenne,1778,1
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1778,1
186,Malembo,119,Fort Dauphin,1778,1
13,Ardra,243,Port-au-Prince,1778,1
332,Whydah,243,Port-au-Prince,1778,4
329,"West Central Africa and St. Helena, port unspecified",243,Port-au-Prince,1778,2
63,Calabar,243,Port-au-Prince,1778,1
29,Benguela,258,Rio de Janeiro,1778,6
63,Calabar,274,Saint-Marc,1778,1
33,"Bight of Benin, port unspecified",274,Saint-Marc,1778,1
329,"West Central Africa and St. Helena, port unspecified",274,Saint-Marc,1778,1
332,Whydah,83,Cayenne,1779,1
72,Cape Lahou,116,Essequibo,1779,1
335,"Windward Coast, port unspecified",116,Essequibo,1779,1
71,Cape Coast Castle,160,Kingston,1779,1
126,Gambia,160,Kingston,1779,1
245,Porto Novo,160,Kingston,1779,1
29,Benguela,258,Rio de Janeiro,1779,1
87,Congo North,302,St. Eustatius,1779,1
131,"Gold Coast, port unspecified",160,Kingston,1780,2
65,Cameroons River,160,Kingston,1780,1
29,Benguela,258,Rio de Janeiro,1780,1
87,Congo North,302,St. Eustatius,1780,1
131,"Gold Coast, port unspecified",40,Black River,1781,1
87,Congo North,116,Essequibo,1781,1
71,Cape Coast Castle,160,Kingston,1781,3
131,"Gold Coast, port unspecified",160,Kingston,1781,1
334,Windward Coast (Nunez - Assini),160,Kingston,1781,1
42,Bonny,160,Kingston,1781,1
148,Iles de Los,200,Montego Bay,1781,1
42,Bonny,200,Montego Bay,1781,1
131,"Gold Coast, port unspecified",241,Port Maria,1781,1
29,Benguela,258,Rio de Janeiro,1781,1
113,Elmina,301,St. Croix,1781,1
20,Banana Islands,302,St. Eustatius,1781,1
63,Calabar,160,Kingston,1782,1
131,"Gold Coast, port unspecified",160,Kingston,1782,4
239,Popo,160,Kingston,1782,1
71,Cape Coast Castle,160,Kingston,1782,2
332,Whydah,160,Kingston,1782,2
329,"West Central Africa and St. Helena, port unspecified",160,Kingston,1782,1
113,Elmina,201,Montevideo,1782,1
29,Benguela,258,Rio de Janeiro,1782,3
329,"West Central Africa and St. Helena, port unspecified",84,Cayes (Les),1783,1
